,subzone,resident_count,SUBZONE_N,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
199,PEOPLE'S PARK,3380.0,PEOPLE'S PARK,162713.0,226457.0
200,PHILLIP,0.0,PHILLIP,666.0,6405.0
201,PIONEER SECTOR,0.0,PIONEER SECTOR,28304.0,17192.0
202,PLAB,0.0,PLAB,32804.0,17178.0
203,PORT,1080.0,PORT,74121.0,68200.0
204,POTONG PASIR,112490.0,POTONG PASIR,181150.0,210408.0
205,PULAU PUNGGOL BARAT,0.0,,,
206,PULAU PUNGGOL TIMOR,0.0,,,
207,PULAU SELETAR,0.0,,,
208,PUNGGOL CANAL,0.0,,,
209,PUNGGOL FIELD,407850.0,PUNGGOL FIELD,545487.0,491302.0
210,PUNGGOL TOWN CENTRE,89120.0,PUNGGOL TOWN CENTRE,94228.0,86267.0
211,QUEENSWAY,2400.0,QUEENSWAY,85047.0,71637.0
212,RAFFLES PLACE,0.0,RAFFLES PLACE,27588.0,18893.0
213,REDHILL,108290.0,REDHILL,252191.0,247679.0
214,RESERVOIR VIEW,0.0,RESERVOIR VIEW,14609.0,17353.0
215,RIDOUT,12360.0,RIDOUT,63553.0,81792.0
216,RIVERVALE,532230.0,RIVERVALE,693321.0,714070.0
217,ROBERTSON QUAY,21530.0,ROBERTSON QUAY,124580.0,132402.0
218,ROCHOR CANAL,0.0,ROCHOR CANAL,34666.0,38830.0
219,SAFTI,0.0,SAFTI,17798.0,3560.0
220,SAMULUN,0.0,SAMULUN,7263.0,34105.0
221,SAUJANA,219180.0,SAUJANA,173778.0,181815.0
222,SELEGIE,2030.0,SELEGIE,50168.0,46997.0
223,SELETAR,2260.0,SELETAR,106797.0,104706.0
224,SELETAR AEROSPACE PARK,0.0,SELETAR AEROSPACE PARK,23678.0,26854.0
225,SELETAR HILLS,119850.0,SELETAR HILLS,105527.0,146150.0
226,SEMAKAU,0.0,,,
227,SEMBAWANG CENTRAL,271780.0,SEMBAWANG CENTRAL,667724.0,640747.0
228,SEMBAWANG EAST,22110.0,SEMBAWANG EAST,172553.0,203219.0
229,SEMBAWANG HILLS,61670.0,SEMBAWANG HILLS,66397.0,95294.0
230,SEMBAWANG NORTH,238000.0,SEMBAWANG NORTH,284420.0,317105.0
231,SEMBAWANG SPRINGS,44440.0,SEMBAWANG SPRINGS,158076.0,147965.0
232,SEMBAWANG STRAITS,14360.0,SEMBAWANG STRAITS,23893.0,21343.0
233,SENGKANG TOWN CENTRE,514280.0,SENGKANG TOWN CENTRE,1182336.0,1134672.0
234,SENGKANG WEST,0.0,SENGKANG WEST,10907.0,12501.0
235,SENJA,172840.0,SENJA,241185.0,287300.0
236,SENNETT,42730.0,SENNETT,230396.0,192294.0
237,SENOKO NORTH,0.0,SENOKO NORTH,87445.0,91510.0
238,SENOKO SOUTH,0.0,SENOKO SOUTH,159796.0,133735.0
239,SENOKO WEST,0.0,SENOKO WEST,101420.0,94303.0
240,SENTOSA,12990.0,SENTOSA,5310.0,14133.0
241,SERANGOON CENTRAL,238030.0,SERANGOON CENTRAL,1004237.0,907542.0
242,SERANGOON GARDEN,350750.0,SERANGOON GARDEN,502299.0,497748.0
243,SERANGOON NORTH,157070.0,SERANGOON NORTH,337599.0,369718.0
244,SERANGOON NORTH IND ESTATE,0.0,SERANGOON NORTH IND ESTATE,107355.0,114659.0
245,SHANGRI-LA,162100.0,SHANGRI-LA,239071.0,308908.0
246,SHIPYARD,0.0,SHIPYARD,24502.0,11079.0
247,SIGLAP,62200.0,SIGLAP,96773.0,62222.0
248,SIMEI,379380.0,SIMEI,657657.0,655823.0
249,SIMPANG NORTH,0.0,,,
250,SIMPANG SOUTH,0.0,,,
251,SINGAPORE GENERAL HOSPITAL,0.0,SINGAPORE GENERAL HOSPITAL,164377.0,143358.0
252,SINGAPORE POLYTECHNIC,1280.0,SINGAPORE POLYTECHNIC,191149.0,147102.0
253,SOMERSET,540.0,SOMERSET,317184.0,269680.0
254,SOUTHERN GROUP,0.0,,,
255,SPRINGLEAF,35690.0,SPRINGLEAF,26243.0,40007.0
256,STRAITS VIEW,0.0,STRAITS VIEW,4599.0,6143.0
257,SUDONG,0.0,,,
258,SUNGEI ROAD,20700.0,SUNGEI ROAD,82626.0,87292.0
259,SUNSET WAY,57140.0,SUNSET WAY,39413.0,45715.0
260,SWISS CLUB,48950.0,SWISS CLUB,105169.0,151809.0
261,TAGORE,72540.0,TAGORE,97425.0,100615.0
262,TAI SENG,126360.0,TAI SENG,263703.0,231852.0
263,TAMAN JURONG,327810.0,TAMAN JURONG,826396.0,868848.0
264,TAMPINES EAST,1232220.0,TAMPINES EAST,3069231.0,3027512.0
265,TAMPINES NORTH,2450.0,TAMPINES NORTH,200324.0,189531.0
266,TAMPINES WEST,703610.0,TAMPINES WEST,1139948.0,1217908.0
267,TANGLIN,3490.0,TANGLIN,13274.0,12148.0
268,TANGLIN HALT,116810.0,TANGLIN HALT,194217.0,225132.0
269,TANJONG IRAU,0.0,,,
270,TANJONG PAGAR,4510.0,TANJONG PAGAR,21276.0,11545.0
271,TANJONG RHU,100840.0,TANJONG RHU,130904.0,125006.0
272,TEBAN GARDENS,174540.0,TEBAN GARDENS,311184.0,330253.0
273,TECK WHYE,238000.0,TECK WHYE,396587.0,379204.0
274,TELOK BLANGAH DRIVE,150410.0,TELOK BLANGAH DRIVE,269256.0,309975.0
275,TELOK BLANGAH RISE,123410.0,TELOK BLANGAH RISE,217651.0,221717.0
276,TELOK BLANGAH WAY,94830.0,TELOK BLANGAH WAY,172867.0,145424.0
277,TENGAH,0.0,,,
278,TENGEH,0.0,TENGEH,8383.0,7806.0
279,THE WHARVES,0.0,THE WHARVES,20954.0,7276.0
280,TIONG BAHRU,104600.0,TIONG BAHRU,156997.0,179577.0
281,TIONG BAHRU STATION,148150.0,TIONG BAHRU STATION,538970.0,500498.0
282,TOA PAYOH CENTRAL,266200.0,TOA PAYOH CENTRAL,1134746.0,1095290.0
283,TOA PAYOH WEST,124460.0,TOA PAYOH WEST,205666.0,193425.0
284,TOH GUAN,147590.0,TOH GUAN,284710.0,288067.0
285,TOH TUCK,0.0,TOH TUCK,108705.0,130278.0
286,TOWNSVILLE,208770.0,TOWNSVILLE,344223.0,258958.0
287,TRAFALGAR,402140.0,TRAFALGAR,732239.0,686745.0
288,TUAS BAY,0.0,TUAS BAY,61488.0,91816.0
289,TUAS NORTH,0.0,TUAS NORTH,79069.0,70115.0
290,TUAS PROMENADE,0.0,TUAS PROMENADE,59911.0,49305.0
291,TUAS VIEW,0.0,TUAS VIEW,39837.0,46405.0
292,TUAS VIEW EXTENSION,0.0,TUAS VIEW EXTENSION,14925.0,13171.0
293,TUKANG,0.0,TUKANG,36519.0,51178.0
294,TURF CLUB,6100.0,TURF CLUB,72682.0,48349.0
295,TYERSALL,32370.0,TYERSALL,146602.0,116627.0
296,ULU PANDAN,96670.0,ULU PANDAN,62273.0,78286.0
297,UPPER PAYA LEBAR,146140.0,UPPER PAYA LEBAR,188864.0,252397.0
298,UPPER THOMSON,275710.0,UPPER THOMSON,611334.0,613139.0
299,VICTORIA,18250.0,VICTORIA,306838.0,228196.0
300,WATERWAY EAST,276120.0,WATERWAY EAST,177553.0,201456.0
301,WENYA,76970.0,WENYA,141208.0,141461.0
302,WEST COAST,51950.0,WEST COAST,26050.0,70928.0
303,WESTERN WATER CATCHMENT,7910.0,,,
304,WOODGROVE,320420.0,WOODGROVE,323165.0,285280.0
305,WOODLANDS EAST,859050.0,WOODLANDS EAST,1265013.0,1355548.0
306,WOODLANDS REGIONAL CENTRE,0.0,WOODLANDS REGIONAL CENTRE,1326249.0,1139123.0
307,WOODLANDS SOUTH,333510.0,WOODLANDS SOUTH,330217.0,338251.0
308,WOODLANDS WEST,291990.0,WOODLANDS WEST,571921.0,742767.0
309,WOODLEIGH,20940.0,WOODLEIGH,48525.0,88725.0
310,XILIN,17020.0,XILIN,125257.0,140275.0
311,YEW TEE,391750.0,YEW TEE,433853.0,465301.0
312,YIO CHU KANG,0.0,YIO CHU KANG,372157.0,378565.0
313,YIO CHU KANG EAST,36710.0,YIO CHU KANG EAST,87552.0,112150.0
314,YIO CHU KANG NORTH,0.0,YIO CHU KANG NORTH,53764.0,49583.0
315,YIO CHU KANG WEST,237480.0,YIO CHU KANG WEST,279712.0,258308.0
316,YISHUN CENTRAL,14130.0,YISHUN CENTRAL,1066883.0,1180502.0
317,YISHUN EAST,439420.0,YISHUN EAST,721526.0,681553.0
318,YISHUN SOUTH,357720.0,YISHUN SOUTH,641492.0,498792.0
319,YISHUN WEST,523120.0,YISHUN WEST,1136496.0,1041115.0
320,YUHUA EAST,246300.0,YUHUA EAST,380374.0,367670.0
321,YUHUA WEST,183560.0,YUHUA WEST,433152.0,409999.0
322,YUNNAN,638120.0,YUNNAN,926714.0,907855.0
323,,,BAHAR,898.0,3177.0
324,,,BRICKLAND,2972.0,24870.0
325,,,CLEANTECH,10272.0,9782.0
326,,,FOREST HILL,1312.0,2614.0
327,,,LAKESIDE (BUSINESS),45936.0,51836.0
328,,,LAKESIDE (LEISURE),65626.0,105578.0
329,,,MURAI,254521.0,248071.0
330,,,NICOLL,34994.0,42841.0
331,,,PARK,4444.0,5774.0
332,,,PLANTATION,13310.0,16933.0
